conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,82264E+18;Sun Aug 11 14:03:53 +0000 2024;47;Perancang Istana Garuda Ibukota Nusantara (IKN) Nyoman Nuarta mengungkapkan makna dari desain istana yang seperti memeluk punya makna filosofi melindungi Bangsa Indonesia. Kalau Garuda ngedongak sombong dong. Terserah lah itu image orang. Saya buat sayapnya itu memeluk https://t.co/Vw6TUnzUTP;1,82264E+18;https://pbs.twimg.com/amplify_video_thumb/1822634983888150528/img/COL7zeh8VB-TeAIu.jpg;;in;;15;55;16;https://x.com/NarasiNewsroom/status/1822635050464313639;1,15836E+18;NarasiNewsroom
1,82261E+18;Sun Aug 11 12:14:35 +0000 2024;0;Makna Desain Istana Garuda IKN Tampak Ingin Memeluk https://t.co/KOVKycHEvx;1,82261E+18;;;in;Indonesia;0;0;0;https://x.com/merdekadotcom/status/1822607544722034798;456426648;merdekadotcom
1,82259E+18;Sun Aug 11 10:49:18 +0000 2024;0;Desainer Istana Garuda di Ibu Kota Nusantara (IKN) Nyoman Nuarta menanggapi santai kritik yang ditujukan pada desain hasil karyanya. https://t.co/ddy3utOJyi https://t.co/p1S8HXoR2d;1,82259E+18;https://pbs.twimg.com/media/GUsgYdTbYAAcWMn.jpg;;in;Indonesia;0;0;0;https://x.com/monitordaycom/status/1822586081512141183;70600007;monitordaycom
1,82258E+18;Sun Aug 11 10:11:38 +0000 2024;0;Nyoman Nuarta Tanggapi Kritik Desain Mistis Istana Garuda di IKN https://t.co/393B0QACPM;1,82258E+18;;;in;Indonesia;0;0;0;https://x.com/telegrafnesia/status/1822576601697312861;1,21607E+18;telegrafnesia
1,82244E+18;Sun Aug 11 09:52:47 +0000 2024;1;@rukmana_fahmi @tempodotco Pernah kerja di IKN sbg engineer. Desain istana negara &amp;;;;;;;;;;;
1,82257E+18;Sun Aug 11 09:31:07 +0000 2024;0;Tuai Banyak Kritik Ini Alasan Nyoman Nuarta Pilih Desain Garuda di Istana Garuda IKN https://t.co/Net8qwnO5e #TempoNasional;1,82257E+18;;;in;Indonesia;0;3;1;https://x.com/tempodotco/status/1822566406313193664;18129942;tempodotco
1,82257E+18;Sun Aug 11 09:26:36 +0000 2024;5;Desain Istana Garuda di IKN Dianggap Mistis Nyoman Nuarta: Kita Buat Berwibawa https://t.co/Q1QsQ3R9Vs #beritasatu #news #berita;1,82257E+18;;;in;Jakarta;0;5;1;https://x.com/Beritasatu/status/1822565268528443473;154102750;Beritasatu
1,82255E+18;Sun Aug 11 08:21:22 +0000 2024;0;Sebanyak 44 Ahli Terlibat dalam Desain Istana Garuda di IKN https://t.co/ulKFdfFuYH;1,82255E+18;;;in;West Java, Indonesia;0;0;0;https://x.com/PRMNMataBandung/status/1822548852093898985;158297951;PRMNMataBandung
1,82255E+18;Sun Aug 11 08:09:33 +0000 2024;6;Deputi pengendalian pembangunan Otorita IKN Thomas Umbu Pati Tena Bolodadi menyatakan bakal mengundurkan diri jika Istana Garuda tidak berubah jadi hijau seperti desain awal dalam 2 tahun. #ikn #ibukotanusantara #nusantara #istanagaruda #istananegara https://t.co/VMjzxGf5CD;1,82255E+18;https://pbs.twimg.com/ext_tw_video_thumb/1822545827367403521/pu/img/0P9oj7U9ACHFRTT_.jpg;;in;;1;4;0;https://x.com/Metro_TV/status/1822545877904576601;57261519;Metro_TV
1,82252E+18;Sun Aug 11 06:37:04 +0000 2024;0;Nyoman Nuarta Respons Kritik Desain Istana Garuda IKN: Jangan Bawa-bawa Agama https://t.co/9p5ZFPUJEq;1,82252E+18;https://pbs.twimg.com/ext_tw_video_thumb/1822522284470640640/pu/img/Fc4EaANleDUjxp8K.jpg;;in;;0;0;0;https://x.com/koma_id/status/1822522605343322214;1,53303E+18;koma_id
1,82251E+18;Sun Aug 11 06:00:02 +0000 2024;1;Perancang Istana Garuda Ibu Kota Negara (IKN) Nyoman Nuarta angkat bicara terkait kritikan dari warga net yang menganggap desain Istana IKN bernuansa mistis dan mirip kelelawar. Baca di sini: https://t.co/vO3d2Vzn2d #IstanaGaruda #NyomanNuarta #IKN #DesainArsitektur https://t.co/2r2ib26GHF;1,82251E+18;https://pbs.twimg.com/media/GUreIDaawAAqMjJ.jpg;;in;;1;0;0;https://x.com/finindonesia/status/1822513284278607878;9,98801E+17;finindonesia
1,82251E+18;Sun Aug 11 05:58:03 +0000 2024;0;Terkini: Jawaban Nyoman Nuarta atas Banjir Kritik Desain Istana Garuda IKN KRL Impor dari Cina Diuji Awal 2025. Berita terkini bisnis pada Ahad siang 11 Agustus 2024 dimulai dari jawaban Nyoman Nuarta atas banjir kritik atas desain Istana Garuda IKN. https://t.co/P7qqhxW7JP;1,82251E+18;;;in;dʒəmɪrəˈwaɪ;0;0;0;https://x.com/drafdigital/status/1822512786120798705;7540702;drafdigital
1,82251E+18;Sun Aug 11 05:33:12 +0000 2024;8;Terkini: Jawaban Nyoman Nuarta atas Banjir Kritik Desain Istana Garuda IKN KRL Impor dari Cina Diuji Awal 2025 https://t.co/TG7REC5xAr #TempoBisnis;1,82251E+18;;;in;Indonesia;0;5;2;https://x.com/tempodotco/status/1822506534380933489;18129942;tempodotco
1,8225E+18;Sun Aug 11 05:23:33 +0000 2024;1;Terkinin: Jawaban Nyoman Nuarta atas Banjir Kritik Desain Istana Garuda IKN KRL Impor dari Cina Diuji Awal 2025 https://t.co/EBe4e81wAA #TempoBisnis;1,8225E+18;;;in;Indonesia;0;1;0;https://x.com/tempodotco/status/1822504103496593618;18129942;tempodotco
1,8225E+18;Sun Aug 11 04:56:03 +0000 2024;0;Disangka Kerjakan Desain Istana Garuda IKN Seorang Diri Nyoman Nuarta: Geblek Banget. Perancang Istana Garuda IKN Nyoman Nuarta mengatakan desain bangunan tersebut melibatkan 44 ahli. https://t.co/Iz7feUXjOz;1,8225E+18;;;in;dʒəmɪrəˈwaɪ;0;0;0;https://x.com/drafdigital/status/1822497181531529541;7540702;drafdigital
1,8225E+18;Sun Aug 11 04:47:33 +0000 2024;0;Nyoman Nuarta Soal IKN: Desain Istana Garuda Satukan 1.300 Suku Bangsa https://t.co/kKn7nZMe1m;1,8225E+18;;;in;Jakarta;0;0;0;https://x.com/ntvnewsid/status/1822495045787988035;1,75803E+18;ntvnewsid
1,82249E+18;Sun Aug 11 04:44:15 +0000 2024;0;Nyoman Nuarta menjelaskan filosofi di balik Istana Garuda di IKN ! Dengan memilih Garuda sebagai simbol desain ini merangkul keberagaman 1.300 suku Indonesia dan menghindari kecemburuan. #IstanaGaruda #Desain #Arsitektur #IKN #Budaya #seketika https://t.co/5UdPF387Qv;1,82249E+18;;;in;Jakarta;0;0;0;https://x.com/seketikanet/status/1822494211587158227;1,69643E+18;seketikanet
1,82249E+18;Sun Aug 11 04:38:11 +0000 2024;2;Desain Garuda di Istana Negara IKN Seperti Memeluk Ternyata Ini Makna dan Filosofisnya https://t.co/jt7XrROJfo #beritasatu #news #berita;1,82249E+18;;;in;Jakarta;0;2;1;https://x.com/Beritasatu/status/1822492685577670774;154102750;Beritasatu
1,82249E+18;Sun Aug 11 04:38:09 +0000 2024;28;Disangka Kerjakan Desain Istana Garuda IKN Seorang Diri Nyoman Nuarta: Geblek Banget https://t.co/KmMn2dEnvA #TempoBisnis;1,82249E+18;;;in;Indonesia;5;33;6;https://x.com/tempodotco/status/1822492676824142105;18129942;tempodotco
1,82248E+18;Sun Aug 11 03:58:32 +0000 2024;0;Nyoman Nuarta Tegaskan Desain Istana Garuda IKN Bukan Mistis Ini Penjelasannya https://t.co/6QEwhyEnaC;1,82248E+18;;;in;West Java, Indonesia;0;0;0;https://x.com/PRMNMataBandung/status/1822482710000292210;158297951;PRMNMataBandung
1,82247E+18;Sun Aug 11 03:05:34 +0000 2024;0;Nyoman Nuarta Ungkap Makna di Balik Desain Istana Garuda IKN https://t.co/BpbKa7d1Ds;1,82247E+18;;;in;Jakarta;0;1;0;https://x.com/KATADATAcoid/status/1822469379436790235;552523769;KATADATAcoid
1,82246E+18;Sun Aug 11 02:38:12 +0000 2024;0;Riwayat Pendidikan I Nyoman Nuarta Perancang Desain Istana Garuda IKN https://t.co/VDYAtb900v;1,82246E+18;;;in;Jakarta Pusat, DKI Jakarta;0;1;1;https://x.com/SINDOnews/status/1822462492515467387;231355136;SINDOnews
1,82246E+18;Sun Aug 11 02:33:19 +0000 2024;0;Desainer: Desain Istana Garuda IKN libatkan 44 ahli demi keamanan https://t.co/lMR4tDtPVU;1,82246E+18;;;in;Indonesia;0;0;0;https://x.com/webelshinta/status/1822461264062542188;1,483E+18;webelshinta
1,82244E+18;Sun Aug 11 02:31:38 +0000 2024;1;@geloraco Terlepas dari ga suka IKN emang desain itu JELEK BANGET. Ga semua org ngerti itu garuda apalagi org luar negeri. Ini stadion atau istana sarang walet?? Proyek sampah !!;1,82246E+18;;geloraco;in;Indonesia;0;0;0;https://x.com/Wishmeluck45/status/1822460841666736311;36031821;Wishmeluck45
1,82246E+18;Sun Aug 11 02:24:57 +0000 2024;0;Desainer: Desain Istana Garuda IKN libatkan 44 ahli demi keamanan https://t.co/XZPcssamSa;1,82246E+18;;;in;;0;0;0;https://x.com/RadioElshinta/status/1822459155896221913;121640063;RadioElshinta
1,82245E+18;Sun Aug 11 01:46:33 +0000 2024;3;Desainer atau perancang Istana Garuda Ibu Kota Nusantara (IKN) Nyoman Nuarta mengungkapkan bahwa desain Istana Negara tersebut dirancang berbeda dan tak memiliki kesamaan agar menunjukkan kewibawaan. Hal itu bukan mengarah kepada aura mistis. Nyoman Nuarta menekankan agar https://t.co/vfTBaEm0zd;1,82245E+18;https://pbs.twimg.com/media/GUqkJZZaQAA2weK.jpg;;in;Indonesia;0;0;0;https://x.com/pikiran_rakyat/status/1822449495826894990;58880688;pikiran_rakyat
1,82244E+18;Sun Aug 11 01:05:42 +0000 2024;0;Desainer: Desain Istana Garuda IKN Libatkan 44 Ahli Demi Keamanan: Desainer atau perancang Istana Garuda IKN ungkap desain tersebut melibatkan 44 orang ahli demi ciptakan aspek keamanan dan ketahanan bangunan yang akan jadi simbol nasional. https://t.co/yiMvbisvmf https://t.co/QPnvgPKspr;1,82244E+18;https://pbs.twimg.com/media/GUqazu3bcAAiNhX.jpg;;in;Pulo Gadung, Indonesia;1;0;0;https://x.com/tvOneNews/status/1822439215113830489;55507370;tvOneNews
1,82243E+18;Sun Aug 11 00:46:06 +0000 2024;1;Desain Istana Garuda IKN Libatkan 44 Ahli https://t.co/C2rpNCYAp2 #beritajogja #jogja #jogjaistimewa https://t.co/3vciM94OQC;1,82243E+18;https://pbs.twimg.com/media/GUqWUeRbgAAnVUw.jpg;;in;Yogyakarta, Indonesia;0;0;0;https://x.com/Harian_Jogja/status/1822434279701569778;118371948;Harian_Jogja
1,82243E+18;Sun Aug 11 00:25:06 +0000 2024;6;Desain Istana Garuda IKN Libatkan 44 Ahli Nyoman Nuarta: Mereka Sangka Segala Macam Saya yang Kerjakan https://t.co/6LyAcwW86F #beritasatu #news #berita;1,82243E+18;;;in;Jakarta;0;2;0;https://x.com/Beritasatu/status/1822428995386036356;154102750;Beritasatu
1,82243E+18;Sun Aug 11 00:19:11 +0000 2024;0;Desain Istana Garuda IKN Libatkan 44 Ahli Nyoman Nuarta:Mereka Sangka Segala Macam Saya yang Kerjakan https://t.co/a6MNuhjeRS #beritasatu #news #berita;1,82243E+18;;;in;Jakarta;0;1;0;https://x.com/Beritasatu/status/1822427509184733606;154102750;Beritasatu
1,82242E+18;Sun Aug 11 00:08:06 +0000 2024;5;Desain Istana Garuda IKN Dianggap Muram &amp;;;;;;;;;;;
1,82241E+18;Sat Aug 10 23:03:14 +0000 2024;5;Demi Keamanan Desain Istana Garuda IKN Libatkan 44 Ahli: Desainer atau perancang Istana Garuda Ibu Kota Nusantara (IKN) Nyoman Nuarta mengungkapkan bahwa desain istana tersebut melibatkan 44 orang ahli https://t.co/eKtSJkTHts https://t.co/1jlc9yWuQj;1,82241E+18;https://pbs.twimg.com/media/GUp-xwFaAAAe5l6.jpg;;in;Pulo Gadung, Indonesia;0;1;1;https://x.com/tvOneNews/status/1822408394743111859;55507370;tvOneNews
1,82241E+18;Sat Aug 10 23:01:20 +0000 2024;0;Desainer atau perancang Istana Garuda Ibu Kota Nusantara (IKN) Nyoman Nuarta mengungkapkan bahwa desain istana melibatkan 44 orang ahli demi menciptakan aspek keamanan dan ketahanan bangunan yang akan menjadi simbol nasional tersebut. https://t.co/Ajy1qeSzL8;1,82241E+18;;;in;Jawa Timur;0;0;0;https://x.com/ANTARAJatim_/status/1822407916223377825;1,55719E+18;ANTARAJatim_
1,8224E+18;Sat Aug 10 22:29:48 +0000 2024;0;Desainer: Desain Istana Garuda IKN melibatkan 44 ahli demi keamanan https://t.co/cwQcspLhAp;1,8224E+18;;;in;;0;0;0;https://x.com/Binsuscom/status/1822399982076670040;1,78657E+18;Binsuscom
1,8224E+18;Sat Aug 10 22:16:05 +0000 2024;0;Desainer: Desain Istana Garuda IKN melibatkan 44 ahli demi keamanan https://t.co/yDVUMM7imZ;1,8224E+18;;;in;Indonesia;0;0;0;https://x.com/indonews_xyz/status/1822396528172142685;1,76371E+18;indonews_xyz
1,82238E+18;Sat Aug 10 21:28:50 +0000 2024;0;Desainer: Makna desain Istana Garuda IKN memeluk untuk melindungi https://t.co/L3HTA3TfUo;1,82238E+18;;;in;;0;0;0;https://x.com/Binsuscom/status/1822384637806772562;1,78657E+18;Binsuscom
